day,repetition code,short,long,,
1,2_times,"Nothing I see in this room [on this street, from this window, in this place] means anything","This table does not mean anything.
This chair does not mean anything.
This hand does not mean anything.
This foot does not mean anything.
This pen does not mean anything.

That door does not mean anything.
That body does not mean anything.
That lamp does not mean anything.
That sign does not mean anything.
That shadow does not mean anything.",,
2,2_times,"I have given everything I see in this room on this street, from this window, in this place] all the meaning that it has for me.","I have given everything I see int this room [on this street, from this window, in this place] all the meaning that it has for me.",,
3,2_times,"I do not understand anything I see in this room on this street, from this window, in this place].","I do not understand anything I see in this room on this street, from this window, in this place].",,
4,"3_times, 4_times","These thoughts do not mean anything,  They are like the things I see in this room on this street, from this window, in this place.]","This thought about ___ does not mean anything.
It is like the things I see in this room [on this street, and so on].",,
5,"3_times, 4_times",I am never upset for the reason I think.,"I am not angry at ___ for the reason I think.
I am not afraid of ___ for the reason I think.",,
6,"3_times, 4_times",I am upset because I see something that is not there.,"I am angry at ____ because I see something that is not there.

I am worried about ____ because I see something that is not there.",,
7,"3_times, 4_times",I see only the past.,"I see only the past in this pencil.
I see only the past in this shoe.
I see only the past in this hand.
I see only the past in that body.
I see only the past in that face.",,
8,"4_times, 5_times",My mind is preoccupied with past thoughts.,"I seem to be thinking about ___.

I seem to be thinking about [name of a person], about [name of an object], about [name of an emotion]………But my mind is preoccupied with past thoughts.",,
9,"3_times, 4_times",I see nothing as it is now.,"I do not see this typewriter as it is now. 
I do not see this telephone as it is now.
I do not see this arm as it is now.

Farther away ……… 

I do not see that coat rack as it is now.
I do not see that door as it is now. 
I do not see that face as it is now.",,
10,5_times,My thoughts do not mean anything.,,,"My thoughts do not mean anything.

Then add:

This idea will help to release me from all that I now believe."
11,3_times,My meaningless thoughts are showing me a meaningless world.,My meaningless thoughts are showing me a meaningless world.,,
12,"3_times, 4_times",I am upset because I see a meaningless world.,"I think I see a fearful world, a dangerous world, a hostile world, sad world, a wicked world, a crazy world, and so on ………

At the end of the practice period, add:

But I am upset because I see a meaningless world.",,
